Dataset,Model,Fusion,_all_pre,_leisure_pre,_working_pre,_all_rec,_leisure_rec,_working_rec,_all_ndcg,_leisure_ndcg,_working_ndcg,GAP_NDCG
Gowalla,GeoSoCa,mul,0.0274,0.0544,0.0159,0.0507,0.0421,0.0595,0.0313,0.0596,0.0187,0.0409
Gowalla,GeoSoCa,sum,0.0282,0.0526,0.0171,0.0557,0.0402,0.0649,0.0312,0.056,0.0193,0.0367
Gowalla,GeoSoCa,local,0.0294,0.0546,0.018,0.058,0.042,0.0684,0.0323,0.0576,0.0205,0.0371
Gowalla,GeoSoCa,local_1,0.0281,0.052,0.017,0.0551,0.0394,0.0648,0.0309,0.0551,0.019,0.0361
Gowalla,GeoSoCa,local_2,0.0295,0.0547,0.0183,0.0581,0.0421,0.069,0.0325,0.0579,0.0207,0.0372
Gowalla,GeoSoCa,local_3,0.0294,0.0546,0.018,0.058,0.042,0.0684,0.0323,0.0576,0.0205,0.0371
Gowalla,GeoSoCa,w19,0.0272,0.0499,0.0168,0.0538,0.038,0.0644,0.0299,0.053,0.0188,0.0342
Gowalla,GeoSoCa,w37,0.0277,0.0513,0.0168,0.0548,0.0393,0.0643,0.0307,0.0552,0.0189,0.0363
Gowalla,GeoSoCa,w55,0.0282,0.0526,0.0171,0.0557,0.0402,0.0649,0.0312,0.056,0.0193,0.0367
Gowalla,GeoSoCa,w73,0.0288,0.0547,0.0174,0.0563,0.0415,0.066,0.0319,0.0578,0.0198,0.038
Gowalla,GeoSoCa,w91,0.0294,0.0546,0.0183,0.0582,0.0418,0.069,0.0324,0.0579,0.0207,0.0372
Gowalla,LORE,mul,0.0349,0.0768,0.0177,0.059,0.0537,0.065,0.0413,0.0855,0.0226,0.0629
Gowalla,LORE,sum,0.0292,0.0536,0.0178,0.057,0.04,0.0675,0.0321,0.057,0.0195,0.0375
Gowalla,LORE,local,0.0296,0.0546,0.018,0.0579,0.0407,0.0681,0.0328,0.0579,0.0203,0.0376
Gowalla,LORE,local_1,0.0303,0.0552,0.0187,0.0595,0.0412,0.0706,0.0331,0.0583,0.0206,0.0377
Gowalla,LORE,local_2,0.0297,0.0543,0.0182,0.0583,0.0404,0.0689,0.033,0.0576,0.0207,0.0369
Gowalla,LORE,local_3,0.0296,0.0546,0.018,0.0579,0.0407,0.0681,0.0328,0.0579,0.0203,0.0376
Gowalla,LORE,local,0.0296,0.0546,0.018,0.0579,0.0407,0.0681,0.0328,0.0579,0.0203,0.0376
Gowalla,LORE,w117,0.0298,0.0543,0.0185,0.0587,0.0408,0.0702,0.0328,0.0576,0.0202,0.0374
Gowalla,LORE,w144,0.0296,0.0543,0.0178,0.0578,0.0404,0.0674,0.0326,0.0578,0.0198,0.038
Gowalla,LORE,w171,0.0291,0.0534,0.0175,0.0568,0.0396,0.0662,0.032,0.057,0.0194,0.0376
Gowalla,LORE,w333,0.0292,0.0536,0.0178,0.057,0.04,0.0675,0.0321,0.057,0.0195,0.0375
Gowalla,LORE,w414,0.0297,0.0541,0.0181,0.0579,0.0405,0.0686,0.0329,0.0575,0.0203,0.0372
Gowalla,LORE,w441,0.0289,0.0532,0.0176,0.0566,0.0397,0.0672,0.0318,0.0567,0.0193,0.0374
Gowalla,LORE,w711,0.0293,0.0539,0.0179,0.0573,0.0402,0.0678,0.0326,0.0575,0.02,0.0375
Gowalla,CF,main,0.0399,0.068,0.0269,0.0797,0.0506,0.1034,0.0456,0.0754,0.0319,0.0435
Gowalla,PFM,main,0.0143,0.0263,0.008,0.0255,0.0163,0.0308,0.0173,0.0314,0.0101,0.0213
Yelp,GeoSoCa,mul,0.0151,0.0409,0.0043,0.0341,0.0387,0.0287,0.0169,0.0458,0.0048,0.041
Yelp,GeoSoCa,sum,0.015,0.0361,0.0068,0.04,0.0333,0.0446,0.016,0.039,0.007,0.032
Yelp,GeoSoCa,local,0.0146,0.0349,0.0067,0.0389,0.0318,0.044,0.0155,0.0378,0.0069,0.0309
Yelp,GeoSoCa,local_1,0.0149,0.035,0.0068,0.0405,0.0324,0.0453,0.016,0.0384,0.0074,0.031
Yelp,GeoSoCa,local_2,0.0146,0.0349,0.0067,0.0389,0.0318,0.044,0.0155,0.0378,0.0069,0.0309
Yelp,GeoSoCa,local_3,0.0147,0.0351,0.0066,0.0391,0.0322,0.0434,0.0156,0.0377,0.0069,0.0308
Yelp,GeoSoCa,local,0.0146,0.0349,0.0067,0.0389,0.0318,0.044,0.0155,0.0378,0.0069,0.0309
Yelp,GeoSoCa,w117,0.0147,0.0345,0.0068,0.0402,0.0324,0.0452,0.0158,0.0378,0.007,0.0308
Yelp,GeoSoCa,w144,0.0158,0.0376,0.0071,0.0419,0.0345,0.0468,0.017,0.0412,0.0074,0.0338
Yelp,GeoSoCa,w171,0.0157,0.0372,0.007,0.0415,0.0341,0.046,0.0168,0.0407,0.0074,0.0333
Yelp,GeoSoCa,w333,0.015,0.0361,0.0068,0.04,0.0333,0.0446,0.016,0.039,0.007,0.032
Yelp,GeoSoCa,w414,0.014,0.0321,0.0067,0.0385,0.0302,0.0444,0.0148,0.0343,0.007,0.0273
Yelp,GeoSoCa,w441,0.0148,0.0354,0.0067,0.0394,0.0325,0.044,0.0159,0.0382,0.007,0.0312
Yelp,GeoSoCa,w711,0.0142,0.0336,0.0066,0.0383,0.031,0.0435,0.0152,0.0364,0.007,0.0294
Yelp,LORE,mul,0.0157,0.0443,0.0035,0.0335,0.0414,0.0232,0.0174,0.0468,0.0043,0.0425
Yelp,LORE,sum,0.0145,0.0334,0.0065,0.0388,0.0316,0.0428,0.0155,0.036,0.0066,0.0294
Yelp,LORE,local,0.0149,0.0339,0.0067,0.0402,0.0322,0.0442,0.016,0.0364,0.007,0.0294
Yelp,LORE,local_1,0.0147,0.0337,0.0067,0.0398,0.0322,0.044,0.0158,0.0363,0.0069,0.0294
Yelp,LORE,local_2,0.0153,0.0347,0.0066,0.0411,0.0333,0.0436,0.0167,0.0379,0.0071,0.0308
Yelp,LORE,local_3,0.0149,0.0339,0.0067,0.0401,0.0322,0.044,0.016,0.0364,0.007,0.0294
Yelp,LORE,local,0.0149,0.0339,0.0067,0.0402,0.0322,0.0442,0.016,0.0364,0.007,0.0294
Yelp,LORE,w117,0.0146,0.0335,0.0065,0.0392,0.0316,0.043,0.0156,0.0362,0.0066,0.0296
Yelp,LORE,w144,0.0142,0.0326,0.0062,0.0381,0.0305,0.0407,0.0149,0.0345,0.0063,0.0282
Yelp,LORE,w171,0.0139,0.0317,0.0063,0.0377,0.0296,0.0416,0.0147,0.0339,0.0064,0.0275
Yelp,LORE,w333,0.0145,0.0334,0.0065,0.0388,0.0316,0.0428,0.0155,0.036,0.0066,0.0294
Yelp,LORE,w414,0.0152,0.0344,0.0067,0.0412,0.0329,0.0445,0.0165,0.038,0.007,0.031
Yelp,LORE,w441,0.0144,0.0333,0.0065,0.0388,0.0315,0.043,0.0155,0.0359,0.0067,0.0292
Yelp,LORE,w711,0.0155,0.0355,0.0066,0.0412,0.0341,0.0436,0.0169,0.0391,0.007,0.0321
Yelp,CF,main,0.0253,0.0528,0.0136,0.0732,0.0525,0.0897,0.0278,0.0559,0.0154,0.0405
Yelp,PFM,main,0.0076,0.0197,0.0025,0.0182,0.0179,0.0163,0.0079,0.0209,0.0022,0.0187
