Dataset,Model,Fusion,_all_pre,_leisure_pre,_working_pre,_all_rec,leisure_rec,_working_rec,all_ndcg,leisure_ndcg,working_ndcg,Delta,Imp
Gowalla,GeoSoCa,mul,0.0344,0.0655,0.0205,0.0329,0.0257,0.0397,0.0368,0.0679,0.0226,0.0453,0
Gowalla,GeoSoCa,sum,0.0335,0.0589,0.021,0.0339,0.0225,0.0403,0.0354,0.061,0.0224,0.0386,0.1479028698
Gowalla,GeoSoCa,global,0.0322,0.0564,0.0211,0.0326,0.0214,0.0407,0.0339,0.0579,0.022,0.0359,0.2075055188
Gowalla,LORE,mul,0.045,0.0913,0.0247,0.0404,0.0319,0.0467,0.0498,0.0973,0.0287,0.0686,0
Gowalla,LORE,sum,0.0345,0.0607,0.0222,0.0346,0.0228,0.0436,0.0363,0.0624,0.0226,0.0398,0.4198250729
Gowalla,LORE,global,0.0352,0.0617,0.0228,0.0355,0.0236,0.045,0.0373,0.0632,0.0238,0.0394,0.4256559767
Yelp,GeoSoCa,mul,0.0184,0.0481,0.0056,0.0215,0.0227,0.0185,0.0196,0.0519,0.0056,0.0463,0
Yelp,GeoSoCa,sum,0.0165,0.0395,0.0067,0.0216,0.0179,0.0222,0.0173,0.0422,0.007,0.0352,0.2397408207
Yelp,GeoSoCa,global,0.015,0.0345,0.0067,0.0204,0.0158,0.0222,0.0157,0.0367,0.0071,0.0296,0.3606911447
Yelp,LORE,mul,0.0183,0.0491,0.0044,0.0203,0.0231,0.0146,0.0196,0.0505,0.0051,0.0454,0
Yelp,LORE,sum,0.0162,0.0374,0.0069,0.0215,0.018,0.0227,0.0169,0.0395,0.0069,0.0326,0.281938326
Yelp,LORE,global,0.0155,0.037,0.0064,0.0205,0.0173,0.0213,0.0159,0.0377,0.0066,0.0311,0.3149779736
